unique_ID,Full_Name,Web_Page,E_mail,Phone_Number,Short_CV,Rank,Member_Type
26,Horwitz Soda,NULL,horwitz_soda@yahoo.com,6986258887,NULL,Assistant_Professor,Dep_Member
27,Jenspeter Safford,www.jenspeter_safford.com,jenspeter.safford@hotmail.com,6989335742,NULL,NULL,Graduate
28,Mathyus Fitzmaurice,NULL,mathyus.fitzmaurice@gmail.com,6930453043,NULL,Assistant_Professor,Dep_Member
29,Shikana Followell,NULL,shikana.followell@yahoo.com,6938393055,NULL,NULL,Candidate_Lecturer
30,Lorisha Galeoto,NULL,lorisha.galeoto@yahoo.com,6905368158,NULL,NULL,Graduate
31,Diondria Jasmer,www.diondriajasmer.com,diondria_jasmer@gmail.com,6977446697,NULL,NULL,Graduate
32,Tenicka Darias,NULL,tdarias@hotmail.com,6944672435,NULL,Professor,Dep_Member
33,Banguolis Drones,NULL,banguolis.drones@outlook.com,6951691198,NULL,NULL,Candidate_Lecturer
34,Yirinec Sachtleben,NULL,ysachtleben@gmail.com,6968810898,NULL,NULL,Researcher
35,Sibylle Ried,NULL,sibylle.ried@hotmail.com,6951782605,NULL,NULL,Graduate
36,Lhiam Breidenbach,www.lhiambreidenbach.com,lhiam.breidenbach@hotmail.com,6991430074,NULL,Professor_Emeritus,Dep_Member
37,Eudelia Holling,NULL,eudelia_holling@yahoo.com,6960300402,NULL,NULL,Researcher
38,Brionie Pollacco,NULL,bpollacco@hotmail.com,6922697654,NULL,NULL,Researcher
39,Flaviana Schempp,NULL,flaviana.schempp@yahoo.com,6919237475,NULL,NULL,Candidate_Lecturer
40,Reymonde Michna,NULL,reymonde_michna@gmail.com,6992646111,NULL,NULL,Candidate_Lecturer
41,Alexiona Menesez,NULL,alexiona.menesez@hotmail.com,6974503390,NULL,NULL,Candidate_Lecturer
42,Davvid Liberato,NULL,davvid_liberato@hotmail.com,6964298826,NULL,NULL,Graduate
43,Raşit Mamula,NULL,rait.mamula@yahoo.com,6958589940,NULL,NULL,Researcher
44,Melvia Goetzinger,NULL,melviagoetzinger@gmail.com,6906635085,NULL,NULL,Researcher
45,Hindrikus Comans,NULL,hindrikus_comans@outlook.com,6967661234,NULL,NULL,Graduate
46,Dinoshan Manoso,NULL,dinoshan.manoso@hotmail.com,6983642636,NULL,Lecturer,Dep_Member
47,Trayc Kornell,NULL,trayckornell@gmail.com,6942717924,NULL,NULL,Graduate
48,Annaliisa Girardin,NULL,agirardin@hotmail.com,6953551268,NULL,NULL,Undergraduate
49,Leenhard Grambling,NULL,lgrambling@outlook.com,6927515518,NULL,Assistant_Professor,Dep_Member
50,Aniessa Mullany,www.aniessamullany.com,aniessa_mullany@outlook.com,6993691515,NULL,Associate_Professor,Dep_Member
51,Alsiddiqa Giardini,NULL,alsiddiqa_giardini@hotmail.com,6951883801,NULL,NULL,Undergraduate
52,Anker Jean-Hilaire,www.ankerjeanhilaire.com,anker_jeanhilaire@hotmail.com,6964417362,NULL,NULL,Undergraduate
53,Norwood Fawley,www.norwood-fawley.com,norwoodfawley@hotmail.com,6944894464,NULL,NULL,Graduate
54,Erlantz Mould,NULL,erlantz.mould@gmail.com,6986878994,NULL,NULL,Candidate_Lecturer
55,Nycia Letarte,NULL,nycia_letarte@gmail.com,6951774020,NULL,NULL,Undergraduate
56,Amilyn Gerten,NULL,amilyn_gerten@hotmail.com,6928236801,NULL,Professor,Dep_Member
57,Steeven Dinesh,NULL,steeven_dinesh@hotmail.com,6959093373,NULL,NULL,Candidate_Lecturer
58,Daraich Hallemeyer,NULL,dhallemeyer@outlook.com,6918524286,NULL,NULL,Undergraduate
59,Lametra Fecher,NULL,lametra_fecher@yahoo.com,6933380202,NULL,Assistant_Professor,Dep_Member
60,Lux Brettmann,NULL,lux_brettmann@gmail.com,6914091512,NULL,NULL,Candidate_Lecturer
61,Aakira Voracek,NULL,aakira_voracek@hotmail.com,6935603953,NULL,NULL,Undergraduate
62,Masani Sibbett,NULL,msibbett@gmail.com,6931027982,NULL,NULL,Researcher
63,Jacob-Rhory Martorano,NULL,jacobrhory_martorano@hotmail.com,6980925184,NULL,Professor_Emeritus,Dep_Member
64,Fortier Fairchild,NULL,fortier.fairchild@gmail.com,6960385165,NULL,NULL,Undergraduate
65,Shainia Kirlin,NULL,shainiakirlin@outlook.com,6980540815,NULL,NULL,Candidate_Lecturer
66,Svetin Voetsch,NULL,svetin_voetsch@gmail.com,6956386951,NULL,NULL,Undergraduate
67,Aysheia Pinela,NULL,aysheiapinela@outlook.com,6920563560,NULL,NULL,Undergraduate
68,Spense Camarero,NULL,spense_camarero@yahoo.com,6936425147,NULL,NULL,Graduate
69,Lasley Fickas,NULL,lasleyfickas@gmail.com,6902876178,NULL,NULL,Graduate
70,Lorcán Burghardt,NULL,lorcn_burghardt@gmail.com,6964131816,NULL,NULL,Graduate
71,Joyden Lamartiniere,www.joyden_lamartiniere.com,jlamartiniere@outlook.com,6976666156,NULL,NULL,Graduate
72,Manfredo Cirioni,NULL,manfredocirioni@yahoo.com,6960690316,NULL,NULL,Researcher
73,Bavisha Omparkesh,NULL,bavisha_omparkesh@hotmail.com,6925567381,NULL,NULL,Researcher
74,Aisleen Peco,NULL,aisleenpeco@outlook.com,6942817044,NULL,NULL,Candidate_Lecturer
75,Yingshuo Stoudenmire,NULL,yingshuo.stoudenmire@yahoo.com,6966380527,NULL,NULL,Undergraduate
76,Lycan Cohrs,NULL,lycan_cohrs@hotmail.com,6902238160,NULL,Professor,Dep_Member
77,Eddye Mustard,NULL,eddye_mustard@yahoo.com,6931763914,NULL,NULL,Graduate
78,Gloretta Buesing,NULL,glorettabuesing@hotmail.com,6930242370,NULL,Professor_Emeritus,Dep_Member
79,Sheriann Maronge,NULL,sheriann_maronge@yahoo.com,6911928743,NULL,NULL,Candidate_Lecturer
80,Domnica Nusom,NULL,domnicanusom@outlook.com,6905012834,NULL,NULL,Researcher
81,Tahriq Yoxall,NULL,tahriq_yoxall@gmail.com,6965018476,NULL,Lecturer,Dep_Member
82,Danelle Kilis,NULL,danelle_kilis@gmail.com,6998977790,NULL,NULL,Researcher
83,Fullard Mackowiak,NULL,fullardmackowiak@hotmail.com,6980403948,NULL,NULL,Candidate_Lecturer
84,Titterington Mccammack,www.titteringtonmccammack.com,titteringtonmccammack@yahoo.com,6913644460,NULL,NULL,Graduate
85,Anasthasie Lauridsen,NULL,anasthasie.lauridsen@gmail.com,6944507810,NULL,NULL,Graduate
86,Sherena Szot,NULL,sherena.szot@gmail.com,6908425734,NULL,NULL,Candidate_Lecturer
87,Barris Schwenke,NULL,barris_schwenke@gmail.com,6944983591,NULL,NULL,Graduate
88,Kiyora Mercer,NULL,kiyora.mercer@hotmail.com,6926537423,NULL,NULL,Graduate
89,Gaoussou Boddie,NULL,gboddie@gmail.com,6977655281,NULL,NULL,Researcher
90,Zerah Plewinski,www.zerahplewinski.com,zplewinski@gmail.com,6975875930,NULL,NULL,Candidate_Lecturer
91,Sundown Distin,www.sundown-distin.com,sundown.distin@hotmail.com,6982812320,NULL,NULL,Researcher
92,Herbet Motamed,NULL,herbet_motamed@outlook.com,6989769925,NULL,Professor,Dep_Member
93,Horskins Alway,NULL,horskins.alway@outlook.com,6984113388,NULL,NULL,Researcher
94,Gerstein Ruggiero,NULL,gersteinruggiero@outlook.com,6961374483,NULL,NULL,Researcher
95,Tayyib Anreozzi,NULL,tayyibanreozzi@hotmail.com,6902794362,NULL,NULL,Undergraduate
96,Dyllan Grandin,www.dyllan_grandin.com,dyllan_grandin@hotmail.com,6945944779,NULL,NULL,Undergraduate
97,Ranbir Bowler,NULL,ranbir.bowler@outlook.com,6942093837,NULL,NULL,Graduate
98,Dionisie Zorrilla,NULL,dionisie_zorrilla@outlook.com,6914567405,NULL,Professor,Dep_Member
99,Samanta Goode,www.samanta-goode.com,samanta.goode@outlook.com,6950079209,NULL,Professor,Dep_Member
100,Tadarian Ibasitas,NULL,tibasitas@gmail.com,6925054927,NULL,NULL,Candidate_Lecturer
